SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT1859A_8_chemi_2007-11-16_00:00:00,20231026000000,20231026000000,NO2,30.48571,Âµg/m3,traffic,urban,197.0,IT1859A,TRENTO VBZ,11.110230000034568,46.10434000029117,Via Bolzano - Trento (TN),True
SPO.IT1191A_8_chemi_1998-10-01_00:00:00,20231026000000,20231026000000,NO2,5.277619,Âµg/m3,background,rural,1601.0,IT1191A,MONTE GAZA,10.958040000068957,46.082530000183,MALGA GAZA - Vallelaghi (TN),True
SPO.IT1037A_8_chemi_1996-01-01_00:00:00,20231026000000,20231026000000,NO2,23.23286,Âµg/m3,background,urban,203.0,IT1037A,TRENTO PSC,11.12620000032231,46.06292999970768,PARCO SANTA CHIARA - Trento (TN),True
SPO.IT0703A_8_chemi_1989-10-24_00:00:00,20231026000000,20231026000000,NO2,16.76524,Âµg/m3,background,suburban,380.0,IT0703A,BORGO VAL,11.453889999980522,46.05184000019839,VIA 4 NOVEMBRE - Borgo Valsugana (TN),True
SPO.IT2285A_7_UV-P_2019-01-01_00:00:00,20231026000000,20231026000000,O3,7.495714,Âµg/m3,background,suburban,212.0,IT2285A,CR2 Cortina sulla strada del vino,11.223240000442871,46.26405999986327,VIA PALUDI - Cortina ssdv (BZ),True
SPO.IT1930A_7_UV-P_2008-06-04_00:00:00,20231026000000,20231026000000,O3,6.402857,Âµg/m3,background,rural,227.0,IT1930A,PIANA ROTALIANA,11.113430000299225,46.1968399996924,Sette Pergole - Mezzolombardo (TN),True
SPO.IT1696A_7_UV-P_2005-09-29_00:00:00,20231026000000,20231026000000,O3,1.728571,Âµg/m3,background,suburban,230.0,IT1696A,LS1 Laives,11.340139999780511,46.43482999971158,VIA GALIZIA - Laives (BZ),True
SPO.IT1191A_7_UV-P_1998-10-01_00:00:00,20231026000000,20231026000000,O3,68.02333,Âµg/m3,background,rural,1601.0,IT1191A,MONTE GAZA,10.958040000068957,46.082530000183,MALGA GAZA - Vallelaghi (TN),True
SPO.IT1037A_7_UV-P_1996-01-01_00:00:00,20231026000000,20231026000000,O3,7.400476,Âµg/m3,background,urban,203.0,IT1037A,TRENTO PSC,11.12620000032231,46.06292999970768,PARCO SANTA CHIARA - Trento (TN),True
SPO.IT0703A_7_UV-P_1989-10-24_00:00:00,20231026000000,20231026000000,O3,11.87905,Âµg/m3,background,suburban,380.0,IT0703A,BORGO VAL,11.453889999980522,46.05184000019839,VIA 4 NOVEMBRE - Borgo Valsugana (TN),True
SPO.IT1859A_5_nephelometry_beta_2007-11-16_00:00:00,20231026000000,20231026000000,PM10,22.08048,Âµg/m3,traffic,urban,197.0,IT1859A,TRENTO VBZ,11.110230000034568,46.10434000029117,Via Bolzano - Trento (TN),True
SPO.IT1191A_5_nephelometry_beta_2008-10-28_00:00:00,20231026000000,20231026000000,PM10,6.63381,Âµg/m3,background,rural,1601.0,IT1191A,MONTE GAZA,10.958040000068957,46.082530000183,MALGA GAZA - Vallelaghi (TN),True
SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,20231026000000,20231026000000,PM10,16.17809,Âµg/m3,background,urban,203.0,IT1037A,TRENTO PSC,11.12620000032231,46.06292999970768,PARCO SANTA CHIARA - Trento (TN),True
SPO.IT0703A_5_nephelometry_beta_2003-01-30_00:00:00,20231026000000,20231026000000,PM10,16.30048,Âµg/m3,background,suburban,380.0,IT0703A,BORGO VAL,11.453889999980522,46.05184000019839,VIA 4 NOVEMBRE - Borgo Valsugana (TN),True
SPO.IT1696A_6001_nephelometry_beta_2008-02-16_00:00:00,20231026000000,20231026000000,PM2.5,9.492381,Âµg/m3,background,suburban,230.0,IT1696A,LS1 Laives,11.340139999780511,46.43482999971158,VIA GALIZIA - Laives (BZ),True
SPO.IT1037A_6001_nephelometry_beta_2009-04-17_00:00:00,20231026000000,20231026000000,PM2.5,9.994286,Âµg/m3,background,urban,203.0,IT1037A,TRENTO PSC,11.12620000032231,46.06292999970768,PARCO SANTA CHIARA - Trento (TN),True
SPO.IT0703A_6001_nephelometry_beta_2011-03-10_00:00:00,20231026000000,20231026000000,PM2.5,9.755714,Âµg/m3,background,suburban,380.0,IT0703A,BORGO VAL,11.453889999980522,46.05184000019839,VIA 4 NOVEMBRE - Borgo Valsugana (TN),True
SPO.IT1037A_1_UV-FL_1996-01-01_00:00:00,20231026000000,20231026000000,SO2,1.834762,Âµg/m3,background,urban,203.0,IT1037A,TRENTO PSC,11.12620000032231,46.06292999970768,PARCO SANTA CHIARA - Trento (TN),True
