SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT2307A_7_UV-P_2021-03-22_00:00:00,20231026000000,20231026000000,O3,0.0,Âµg/m3,background,suburban,96.3,IT2307A,AG - Monserrato,13.551601000416666,37.299240000193784,"Villasete (AG), Via Fra Simone da Lentini s.n.",True
SPO.IT2306A_7_UV-P_2021-03-23_00:00:00,20231026000000,20231026000000,O3,76.06611,Âµg/m3,background,urban,235.4,IT2306A,AG - Centro,13.589903999914915,37.30641299983269,"Agrigento, Salita Coniglio n.181",True
SPO.IT2297A_7_UV-P_2020-02-28_00:00:00,20231026000000,20231026000000,O3,77.73738,Âµg/m3,background,urban,10.0,IT2297A,PA - UNIPA,13.346530000384933,38.105095999746126,"Palermo, Viale delle Scienze c/o Universita degli studi di Palermo ",True
SPO.IT2324A_7_UV-P_2022-11-28_00:00:00,20231026000000,20231026000000,O3,26.01952,Âµg/m3,background,urban,79.0,IT2324A,Gorizia,13.616126999851385,45.93647800010719,via Duca D'Aosta 117 - Gorizia (GO),True
SPO.IT2318A_7_UV-P_2021-03-15_00:00:00,20231026000000,20231026000000,O3,73.35172,Âµg/m3,background,rural-regional,186.0,IT2318A,TP - Diga Rubino,12.718020000011954,37.882475999802686,"Trapani, c/o Diga Rubino",True
SPO.IT2316A_7_UV-P_2021-03-30_00:00:00,20231026000000,20231026000000,O3,64.00513,Âµg/m3,background,suburban,129.4,IT2316A,Solarino,15.131752000448268,37.09627600012151,"Solarino, Circonvallazione Padre Serafino Maria Paolo Gozzo c/o Isola Ecologica",True
SPO.IT2293A_7_UV-P_2019-06-27_00:00:00,20231026000000,20231026000000,O3,28.1595,Âµg/m3,background,urban,0.0,IT2293A,Area verde,13.544499999555388,45.80296000009593,,True
SPO.IT2292A_7_UV-P_2019-01-01_00:00:00,20231026000000,20231026000000,O3,48.99,Âµg/m3,background,rural-regional,950.0,IT2292A,COLLE DI NAVA,7.863939999740785,44.08195999984053,PRESSO COLONIA STATALE 28 - PORNASSIO (IM),True
SPO.IT2288A_7_UV-P_2018-01-01_00:00:00,20231026000000,20231026000000,O3,61.30742,Âµg/m3,background,urban,10.0,IT2288A,a2a - Milazzo,15.247567000212703,38.231468999855096,"Milazzo, Salita Cappuccini s.n.",True
SPO.IT2285A_7_UV-P_2019-01-01_00:00:00,20231026000000,20231026000000,O3,7.495714,Âµg/m3,background,suburban,212.0,IT2285A,CR2 Cortina sulla strada del vino,11.223240000442871,46.26405999986327,VIA PALUDI - Cortina ssdv (BZ),True
SPO.IT2283A_7_UV-P_2019-01-01_00:00:00,20231026000000,20231026000000,O3,66.5285,Âµg/m3,background,rural-regional,650.0,IT2283A,Ottati Alburni,15.29873000014572,40.47059000021713,OTTATI,True
SPO.IT0459A_7_UV-P_1997-09-02_00:00:00,20231026000000,20231026000000,O3,33.15333,Âµg/m3,background,suburban,15.0,IT0459A,CHIARAVALLE2,13.34194000005023,43.59888999985952,VIA GRANCETTA - Chiaravalle (AN),True
SPO.IT0448A_7_UV-P_1994-01-01_00:00:00,20231026000000,20231026000000,O3,12.8421,Âµg/m3,background,urban,1.0,IT0448A,VE - Sacca Fisola,12.313889000315374,45.42944399980085,"SACCA FISOLA, VENEZIA",True
SPO.IT2260A_7_UV-P_2016-04-01_00:00:00,20231026000000,20231026000000,O3,55.681,Âµg/m3,background,rural-nearcity,366.0,IT2260A,Basovizza,13.854970000394527,45.64731000012837,Basovizza - Trieste (TS),True
SPO.IT2259A_7_UV-P_2016-01-01_00:00:00,20231026000000,20231026000000,O3,62.17,Âµg/m3,background,suburban,50.0,IT2259A,VIA UNGARETTI - PEGLI - GENOVA,8.79768000033986,44.42839999989525,VIA UNGARETTI 64 - GENOVA (GE),True
SPO.IT2258A_7_UV-P_2019-06-02_00:00:00,20231026000000,20231026000000,O3,62.95238,Âµg/m3,background,suburban,15.0,IT02258A,SANTA MARINELLA,11.833491999584291,42.042434000212744,VIA PERSEO DEPURATORE - Santa Marinella(RM),True
SPO.IT2254A_7_UV-P_2016-06-02_00:00:00,20231026000000,20231026000000,O3,76.57143,Âµg/m3,background,rural,465.0,IT2254A,Allumiere Aldo Moro,11.900003999839033,42.160965999921366,via Aldo Moro snc - Allumiere (RM),True
SPO.IT2218A_7_UV-P_2015-01-01_00:00:00,20231026000000,20231026000000,O3,49.958,Âµg/m3,traffic,suburban,39.0,IT2218A,San Felice a Cancello Complesso scolastico,14.423969999843207,40.99052000031144,via Polvica - San Felice a Cancello (CE),True
