SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT0063A_5_BETA_2000-05-05_00:00:00,20231026000000,20231026000000,PM10,13.0,Âµg/m3,industrial,suburban,37.0,IT0063A,LI-COTONE,10.534167000257758,42.93916700009489,MAGAZZINI COMUNALI - LOC. COTONE - Piombino (LI),True
SPO.IT2300A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,24.1,Âµg/m3,traffic,urban,151.0,IT2300A,BRESCIA â VIA TARTAGLIA,10.23193999975451,45.53860999996872,VIA TARTAGLIA - Brescia (BS),True
SPO.IT2300A_5_BETA_2021-01-01_00:00:00,20231026000000,20231026000000,PM10,24.1,Âµg/m3,traffic,urban,151.0,IT2300A,BRESCIA â VIA TARTAGLIA,10.23193999975451,45.53860999996872,VIA TARTAGLIA - Brescia (BS),True
SPO.IT2288A_5_BETA_2018-01-01_00:00:00,20231026000000,20231026000000,PM10,21.23613,Âµg/m3,background,urban,10.0,IT2288A,a2a - Milazzo,15.247567000212703,38.231468999855096,"Milazzo, Salita Cappuccini s.n.",True
SPO.IT2284A_5_OPC-CMC_2019-01-01_00:00:00,20231026000000,20231026000000,PM10,13.79524,Âµg/m3,industrial,suburban,583.0,IT2284A,AOSTA I maggio,7.321889999601491,45.73239999991657,Via I maggio,True
SPO.IT0461A_5_BETA_2002-09-01_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,industrial,suburban,10.0,IT0461A,FALCONARA SCUOLA,13.387500000045366,43.6333300000698,VIA CAMPANELLA C/O SCUOLA ELEMENTARE - Falconara Marittima (AN),True
SPO.IT0460A_5_BETA_2003-11-10_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,traffic,urban,100.0,IT0460A,JESI,13.245000000387098,43.52694000016027,VIA DEL LAVORO - Jesi (AN),True
SPO.IT0459A_5_BETA_2006-02-20_00:00:00,20231026000000,20231026000000,PM10,14.65625,Âµg/m3,background,suburban,15.0,IT0459A,CHIARAVALLE2,13.34194000005023,43.59888999985952,VIA GRANCETTA - Chiaravalle (AN),True
SPO.IT0267A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,2.685,Âµg/m3,background,suburban,80.0,IT0267A,TAVAZZANO,9.414721999997932,45.3294439997823,Cascina Bagnolo - Tavazzano con Villavesco (LO),True
SPO.IT2261A_5_BETA_2016-05-20_00:00:00,20231026000000,20231026000000,PM10,15.47684,Âµg/m3,traffic,urban,24.0,IT2261A,piazza Volontari Giuliani,13.788950000234372,45.65438999973615,Piazza Volontari Giuliani - Trieste (TS),True
SPO.IT2260A_5_BETA_2016-04-01_00:00:00,20231026000000,20231026000000,PM10,10.74476,Âµg/m3,background,rural-nearcity,366.0,IT2260A,Basovizza,13.854970000394527,45.64731000012837,Basovizza - Trieste (TS),True
SPO.IT2223A_5_LIGHT-SCAT_2019-05-03_00:00:00,20231026000000,20231026000000,PM10,9.287143,Âµg/m3,industrial,suburban,20.0,IT2223A,Tirrenopower Volla,14.349980000056956,40.88640000023777,via Filichito - Volla (NA),True
SPO.IT2221A_5_LIGHT-SCAT_2020-01-28_00:00:00,20231026000000,20231026000000,PM10,12.626,Âµg/m3,industrial,urban,83.0,IT2221A,Tirrenopower Via Epomeo,14.205670000204073,40.84495000021116,via Epomeo - Napoli (NA),True
SPO.IT2184A_5_BETA_2014-09-10_00:00:00,20231026000000,20231026000000,PM10,13.0,Âµg/m3,traffic,urban,316.0,IT2184A,SI-BRACCI,11.32499999969616,43.33779999995746,Viale Bracci - Siena (SI),True
SPO.IT2183A_5_BETA_2014-09-26_00:00:00,20231026000000,20231026000000,PM10,13.0,Âµg/m3,background,urban,8.0,IT2183A,LI-LA-PIRA,10.332699999823411,43.568900000286774,via la Pira - Livorno (LI),True
