SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT2307A_1_UV-FL_2021-03-22_00:00:00,20231026000000,20231026000000,SO2,9.488245,Âµg/m3,background,suburban,96.3,IT2307A,AG - Monserrato,13.551601000416666,37.299240000193784,"Villasete (AG), Via Fra Simone da Lentini s.n.",True
SPO.IT2297A_1_UV-FL_2020-02-28_00:00:00,20231026000000,20231026000000,SO2,3.54403,Âµg/m3,background,urban,10.0,IT2297A,PA - UNIPA,13.346530000384933,38.105095999746126,"Palermo, Viale delle Scienze c/o Universita degli studi di Palermo ",True
SPO.IT1888A_1_UV-FL_2008-04-18_00:00:00,20231026000000,20231026000000,SO2,4.025872,Âµg/m3,background,urban,187.0,IT1888A,Partinico,13.118589999768854,38.05016199971391,"Partinico, Piazza Vittorio Emanuele n.51",True
SPO.IT1883A_1_UV-FL_2007-01-01_00:00:00,20231026000000,20231026000000,SO2,0.0,Âµg/m3,background,urban,55.0,IT1883A,VARALDO - SAVONA,8.48542000029591,44.31537999989142,VIA AMENDOLA 10 - SAVONA (SV),True
SPO.IT1880A_1_UV-FL_2007-12-01_00:00:00,20231026000000,20231026000000,SO2,1.0,Âµg/m3,traffic,urban,11.0,IT1880A,PD - Arcella,11.890559999578988,45.43332999997729,Via Guido Reni,True
SPO.IT1856A_1_UV-FL_2013-01-01_00:00:00,20231026000000,20231026000000,SO2,3.0,Âµg/m3,background,urban,673.0,IT1856A,AQ - Amiternum,13.383060000396805,42.36417000025051,Via Amiternum - L'Aquila (AQ),True
SPO.IT1848A_1_UV-FL_2007-01-15_00:00:00,20231026000000,20231026000000,SO2,3.0,Âµg/m3,background,rural,824.0,IT1848A,BOSCOCHIESANUOVA,11.037780000106187,45.58999999971279,Loc. Zambelli,True
SPO.IT1838A_1_UV-FL_2010-01-01_00:00:00,20231026000000,20231026000000,SO2,1.0,Âµg/m3,traffic,urban,35.0,IT1838A,VI - San Felice,11.534169999792917,45.54583000029207,Corso San Felice - Vicenza,True
SPO.IT1794A_1_UV-FL_2005-01-18_00:00:00,20231026000000,20231026000000,SO2,7.289939,Âµg/m3,background,urban,10.0,IT1794A,Pace del Mela,15.31006400006801,38.20555599995383,"Pace del Mela, Frazione Giammoro, c.da Gabbia c/o Scuola ",True
SPO.IT1737A_1_UV-FL_2006-01-01_00:00:00,20231026000000,20231026000000,SO2,2.374512,Âµg/m3,background,urban,70.0,IT1737A,BRESCIA VILLAGGIO SERENO,10.219444000266128,45.51527799979404,Traversa IV - Brescia (BS),True
