SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT2307A_7_UV-P_2021-03-22_00:00:00,20231026000000,20231026000000,O3,0.0,Âµg/m3,background,suburban,96.3,IT2307A,AG - Monserrato,1508557.3228,4480899.4682,"Villasete (AG), Via Fra Simone da Lentini s.n.",True
SPO.IT2306A_7_UV-P_2021-03-23_00:00:00,20231026000000,20231026000000,O3,76.06611,Âµg/m3,background,urban,235.4,IT2306A,AG - Centro,1512821.1932,4481903.3039,"Agrigento, Salita Coniglio n.181",True
SPO.IT2297A_7_UV-P_2020-02-28_00:00:00,20231026000000,20231026000000,O3,77.73738,Âµg/m3,background,urban,10.0,IT2297A,PA - UNIPA,1485728.9235,4594283.0096,"Palermo, Viale delle Scienze c/o Universita degli studi di Palermo ",True
SPO.IT2324A_7_UV-P_2022-11-28_00:00:00,20231026000000,20231026000000,O3,26.01952,Âµg/m3,background,urban,79.0,IT2324A,Gorizia,1515740.3242,5770175.612,via Duca D'Aosta 117 - Gorizia (GO),True
SPO.IT2318A_7_UV-P_2021-03-15_00:00:00,20231026000000,20231026000000,O3,73.35172,Âµg/m3,background,rural-regional,186.0,IT2318A,TP - Diga Rubino,1415763.5103,4562836.8904,"Trapani, c/o Diga Rubino",True
SPO.IT2316A_7_UV-P_2021-03-30_00:00:00,20231026000000,20231026000000,O3,64.00513,Âµg/m3,background,suburban,129.4,IT2316A,Solarino,1684458.9275,4452534.9297,"Solarino, Circonvallazione Padre Serafino Maria Paolo Gozzo c/o Isola Ecologica",True
SPO.IT2293A_7_UV-P_2019-06-27_00:00:00,20231026000000,20231026000000,O3,28.1595,Âµg/m3,background,urban,0.0,IT2293A,Area verde,1507766.843,5748829.4507,,True
SPO.IT2292A_7_UV-P_2019-01-01_00:00:00,20231026000000,20231026000000,O3,48.99,Âµg/m3,background,rural-regional,950.0,IT2292A,COLLE DI NAVA,875409.7964,5478134.4549,PRESSO COLONIA STATALE 28 - PORNASSIO (IM),True
SPO.IT2288A_7_UV-P_2018-01-01_00:00:00,20231026000000,20231026000000,O3,61.30742,Âµg/m3,background,urban,10.0,IT2288A,a2a - Milazzo,1697351.3943,4612176.4214,"Milazzo, Salita Cappuccini s.n.",True
SPO.IT2285A_7_UV-P_2019-01-01_00:00:00,20231026000000,20231026000000,O3,7.495714,Âµg/m3,background,suburban,212.0,IT2285A,CR2 Cortina sulla strada del vino,1249365.3619,5822766.4688,VIA PALUDI - Cortina ssdv (BZ),True
