SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT2301A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,13.9,Âµg/m3,background,urban,124.0,IT2301A,BRESCIA SAN POLO,1141733.8858,5701959.8212, Brescia Via San Polo,True
SPO.IT2301A_6001_BETA_2021-01-01_00:00:00,20231026000000,20231026000000,PM2.5,13.9,Âµg/m3,background,urban,124.0,IT2301A,BRESCIA SAN POLO,1141733.8858,5701959.8212, Brescia Via San Polo,True
SPO.IT2284A_6001_OPC-CMC_2019-01-01_00:00:00,20231026000000,20231026000000,PM2.5,9.1,Âµg/m3,industrial,suburban,583.0,IT2284A,AOSTA I maggio,815069.0664,5737569.3454,Via I maggio,True
SPO.IT0460A_6001_BETA_2006-12-01_00:00:00,20231026000000,20231026000000,PM2.5,7.064286,Âµg/m3,traffic,urban,100.0,IT0460A,JESI,1474426.6556,5392524.5395,VIA DEL LAVORO - Jesi (AN),True
SPO.IT0459A_6001_BETA_2006-02-20_00:00:00,20231026000000,20231026000000,PM2.5,10.3625,Âµg/m3,background,suburban,15.0,IT0459A,CHIARAVALLE2,1485217.967,5403577.8642,VIA GRANCETTA - Chiaravalle (AN),True
SPO.IT2221A_6001_LIGHT-SCAT_2020-01-28_00:00:00,20231026000000,20231026000000,PM2.5,4.863,Âµg/m3,industrial,urban,83.0,IT2221A,Tirrenopower Via Epomeo,1581367.9508,4989498.6539,via Epomeo - Napoli (NA),True
SPO.IT2155A_6001_BETA_2014-09-01_00:00:00,20231026000000,20231026000000,PM2.5,14.6,Âµg/m3,background,rural-nearcity,450.0,IT2155A,CENGIO - RIO PARASACCO,913492.1942,5527090.4819,VIA MONTALDO - CENGIO (SV),True
SPO.IT2062A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,urban,207.0,IT2062A,DALMiNE - Via Verdi,1070305.7345,5723464.8392,Via Verdi - Dalmine (BG),True
SPO.IT2056A_6001_BETA_2012-01-01_00:00:00,20231026000000,20231026000000,PM2.5,6.89865,Âµg/m3,traffic,urban,33.0,IT2056A,CENCA1,1014677.1586,4755509.1457,via Cadello  CAGLIARI - Cagliari (CA),True
SPO.IT2007A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,4.881905,Âµg/m3,background,urban,323.0,IT2007A,ERBA- Via Battisti,1026674.9507,5749864.8954,Via Battisti - Erba (CO),True
SPO.IT1947A_6001_BETA_2012-01-01_00:00:00,20231026000000,20231026000000,PM2.5,4.283988,Âµg/m3,background,urban,56.0,IT1947A,CENSA3,1002864.9361,4731225.5522,VIA ROSSINI - Sarroch (CA),True
SPO.IT0692A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,16.48662,Âµg/m3,industrial,urban,87.0,IT0692A,SANNAZZARO,991362.4044,5637541.5731,VIA ANTONA TRAVERSI 10 - Sannazzaro de' Burgondi (PV),True
