SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT2307A_1_UV-FL_2021-03-22_00:00:00,20231026000000,20231026000000,SO2,9.488245,Âµg/m3,background,suburban,96.3,IT2307A,AG - Monserrato,1508557.3228,4480899.4682,"Villasete (AG), Via Fra Simone da Lentini s.n.",True
SPO.IT2318A_1_UV-FL_2021-03-15_00:00:00,20231026000000,20231026000000,SO2,1.790725,Âµg/m3,background,rural-regional,186.0,IT2318A,TP - Diga Rubino,1415763.5103,4562836.8904,"Trapani, c/o Diga Rubino",True
SPO.IT2316A_1_UV-FL_2021-03-30_00:00:00,20231026000000,20231026000000,SO2,4.831594,Âµg/m3,background,suburban,129.4,IT2316A,Solarino,1684458.9275,4452534.9297,"Solarino, Circonvallazione Padre Serafino Maria Paolo Gozzo c/o Isola Ecologica",True
SPO.IT2297A_1_UV-FL_2020-02-28_00:00:00,20231026000000,20231026000000,SO2,3.54403,Âµg/m3,background,urban,10.0,IT2297A,PA - UNIPA,1485728.9235,4594283.0096,"Palermo, Viale delle Scienze c/o Universita degli studi di Palermo ",True
SPO.IT2288A_1_UV-FL_2018-01-01_00:00:00,20231026000000,20231026000000,SO2,1.789285,Âµg/m3,background,urban,10.0,IT2288A,a2a - Milazzo,1697351.3943,4612176.4214,"Milazzo, Salita Cappuccini s.n.",True
SPO.IT2286A_1_UV-FL_2018-01-01_00:00:00,20231026000000,20231026000000,SO2,2.02,Âµg/m3,industrial,suburban,10.0,IT2286A,VIA DE LITTA - VADO LIGURE,940165.4574,5506044.5717,SOTTOVENTO PIATTAFORMA MAERSK - VADO LIGURE (SV),True
SPO.IT2283A_1_UV-FL_2019-01-01_00:00:00,20231026000000,20231026000000,SO2,4.815263,Âµg/m3,background,rural-regional,650.0,IT2283A,Ottati Alburni,1703046.8334,4934564.6476,OTTATI,True
SPO.IT0461A_1_UV-FL_1985-05-16_00:00:00,20231026000000,20231026000000,SO2,9.25,Âµg/m3,industrial,suburban,10.0,IT0461A,FALCONARA SCUOLA,1490289.683,5408873.3895,VIA CAMPANELLA C/O SCUOLA ELEMENTARE - Falconara Marittima (AN),True
SPO.IT0459A_1_UV-FL_1997-09-02_00:00:00,20231026000000,20231026000000,SO2,7.953333,Âµg/m3,background,suburban,15.0,IT0459A,CHIARAVALLE2,1485217.967,5403577.8642,VIA GRANCETTA - Chiaravalle (AN),True
SPO.IT0448A_1_UV-FL_1994-01-01_00:00:00,20231026000000,20231026000000,SO2,1.421053,Âµg/m3,background,urban,1.0,IT0448A,VE - Sacca Fisola,1370775.8532,5689383.932,"SACCA FISOLA, VENEZIA",True
SPO.IT0267A_1_UV-FL_1983-01-01_00:00:00,20231026000000,20231026000000,SO2,1.71571,Âµg/m3,background,suburban,80.0,IT0267A,TAVAZZANO,1048042.059,5673535.6699,Cascina Bagnolo - Tavazzano con Villavesco (LO),True
SPO.IT2254A_1_UV-FL_2016-06-02_00:00:00,20231026000000,20231026000000,SO2,2.26,Âµg/m3,background,rural,465.0,IT2254A,Allumiere Aldo Moro,1324702.3857,5185121.9501,via Aldo Moro snc - Allumiere (RM),True
SPO.IT2252A_1_UV-FL_2016-05-18_00:00:00,20231026000000,20231026000000,SO2,1.905,Âµg/m3,background,urban,19.0,IT2252A,Campo dell'Oro,1314612.9437,5173239.3741,Via A. De Gasperi - Civitavecchia (RM),True
SPO.IT2251A_1_UV-FL_2016-05-14_00:00:00,20231026000000,20231026000000,SO2,1.335,Âµg/m3,background,urban,124.0,IT2251A,Faro,1315535.003,5175796.2646,Via Nuova di S.Liborio snc - Civitavecchia (RM),True
SPO.IT2218A_1_UV-FL_2015-01-01_00:00:00,20231026000000,20231026000000,SO2,3.71,Âµg/m3,traffic,suburban,39.0,IT2218A,San Felice a Cancello Complesso scolastico,1605668.9956,5010943.4666,via Polvica - San Felice a Cancello (CE),True
SPO.IT2183A_1_UV-FL_2014-09-26_00:00:00,20231026000000,20231026000000,SO2,2.333333,Âµg/m3,background,urban,8.0,IT2183A,LI-LA-PIRA,1150230.9025,5398969.0434,via la Pira - Livorno (LI),True
SPO.IT2175A_1_UV-FL_2014-05-29_00:00:00,20231026000000,20231026000000,SO2,1.84,Âµg/m3,background,urban,145.0,IT2175A,Civita Castellana via Petrarca,1381830.5465,5206297.1835,via Petrarca - Civita Castellana (VT),True
SPO.IT2173A_1_UV-FL_2013-10-07_00:00:00,20231026000000,20231026000000,SO2,2.965,Âµg/m3,background,urban,3.0,IT2173A,Gaeta Porto,1510660.0366,5045302.3974,lungomare Caboto - Gaeta (LT),True
SPO.IT2114A_1_UV-FL_2013-02-06_00:00:00,20231026000000,20231026000000,SO2,3.82,Âµg/m3,industrial,suburban,623.0,IT2114A,Semonte Alta,1396719.4171,5368077.4375,Localitï¿½ Semonte - Gubbio (PG),True
SPO.IT2108A_1_UV-FL_2012-01-01_00:00:00,20231026000000,20231026000000,SO2,2.26,Âµg/m3,industrial,suburban,344.0,IT2108A,LOCALITA' BRAGNO - CAIRO MONTENOTTE,923804.8319,5523649.5402,VIA SCAIOLA - CAIRO MONTENOTTE (SV),True
SPO.IT2107A_1_UV-FL_2012-01-01_00:00:00,20231026000000,20231026000000,SO2,5.59,Âµg/m3,industrial,suburban,343.0,IT2107A,LOCALITA' MAZZUCCA - CAIRO MONTENOTTE,922148.3978,5524943.8299,CORSO BRIGATE PARTIGIANE - CAIRO MONTENOTTE (SV),True
SPO.IT2066A_1_UV-FL_2009-06-20_00:00:00,20231026000000,20231026000000,SO2,4.845,Âµg/m3,industrial,suburban,475.0,IT2066A,Leonardo da Vinci,1397863.5588,5366673.8078,Via Leonado da Vinci - Gubbio (PG),True
SPO.IT2064A_1_UV-FL_2009-06-20_00:00:00,20231026000000,20231026000000,SO2,1.615,Âµg/m3,industrial,suburban,516.0,IT2064A,Ghigiano,1403924.3485,5353753.8994,Loc Ghigiano - Gubbio (PG),True
SPO.IT2056A_1_UV-FL_2011-10-14_00:00:00,20231026000000,20231026000000,SO2,1.481367,Âµg/m3,traffic,urban,33.0,IT2056A,CENCA1,1014677.1586,4755509.1457,via Cadello  CAGLIARI - Cagliari (CA),True
SPO.IT2013A_1_UV-FL_2010-09-05_00:00:00,20231026000000,20231026000000,SO2,0.0,Âµg/m3,background,urban,242.0,IT2013A,FROSINONE MAZZINI,1486001.3223,5107146.5647,VIA MAZZINI - Frosinone (FR),True
SPO.IT2012A_1_UV-FL_2010-10-03_00:00:00,20231026000000,20231026000000,SO2,3.994737,Âµg/m3,background,suburban,62.0,IT2012A,MALAGROTTA,1374304.7923,5142240.9604,VIA PAOLO EMILIO PAVOLINI 69/71 - Roma (RM),True
SPO.IT2010A_1_UV-FL_2011-02-04_00:00:00,20231026000000,20231026000000,SO2,0.147325,Âµg/m3,background,urban,16.0,IT2010A,CENPT1,935671.2669,4987503.3006,via Pascoli PORTO TORRES (SS) - Porto Torres (SS),True
SPO.IT2009A_1_UV-FL_2011-02-09_00:00:00,20231026000000,20231026000000,SO2,0.7996266,Âµg/m3,background,urban,275.0,IT2009A,CENS16,954688.1982,4971781.1986,VIA DE CAROLIS - SASSARI  (SS) - Sassari (SS),True
SPO.IT2008A_1_UV-FL_2011-02-17_00:00:00,20231026000000,20231026000000,SO2,0.4102867,Âµg/m3,background,urban,4.0,IT2008A,CESGI1,957935.1651,4849285.169,via Pauli Figu S.GIUSTA - Santa Giusta (OR),True
SPO.IT1947A_1_UV-FL_2009-07-14_00:00:00,20231026000000,20231026000000,SO2,0.9909428,Âµg/m3,background,urban,56.0,IT1947A,CENSA3,1002864.9361,4731225.5522,VIA ROSSINI - Sarroch (CA),True
SPO.IT1936A_1_UV-FL_2008-10-14_00:00:00,20231026000000,20231026000000,SO2,1.0,Âµg/m3,industrial,suburban,1.0,IT1936A,VE - Malcontenta,1358716.2788,5690794.0419,Via Lago di Garda,True
SPO.IT0692A_1_UV-FL_1989-01-01_00:00:00,20231026000000,20231026000000,SO2,1.075468,Âµg/m3,industrial,urban,87.0,IT0692A,SANNAZZARO,991362.4044,5637541.5731,VIA ANTONA TRAVERSI 10 - Sannazzaro de' Burgondi (PV),True
SPO.IT0689A_1_UV-FL_2006-01-20_00:00:00,20231026000000,20231026000000,SO2,1.899334,Âµg/m3,industrial,rural,73.0,IT0689A,MEZZANA BIGLI - CASONI BORRONI,987280.3187,5632285.0683,VIA AGOGNA 38 - Mezzana Bigli (PV),True
SPO.IT0470A_1_UV-FL_2010-03-11_00:00:00,20231026000000,20231026000000,SO2,4.142857,Âµg/m3,traffic,urban,233.0,IT0470A,Torino - Rebaudengo,856641.3303,5637920.0842,Piazza Rebaudengo 23,True
SPO.IT0469A_1_UV-FL_1996-01-01_00:00:00,20231026000000,20231026000000,SO2,11.28571,Âµg/m3,traffic,urban,243.0,IT0469A,Torino - Consolata,854733.3142,5633462.5488,"Via Consolata 10, Torino",True
