STATION_CODE,DATETIME,global_radiation,precipitation,relative_humidity,snow_level,temperature,wind_direction,wind_gust,wind_speed,UNIQUE_IDENTIFIER
T0009,2024-01-23T00:00:00+01,,0.0,,,0.5,,,,0_daily_weather
T0009,2024-01-23T00:15:00+01,,0.0,,,0.5,,,,1_daily_weather
T0009,2024-01-23T00:30:00+01,,0.0,,,0.3,,,,2_daily_weather
T0009,2024-01-23T00:45:00+01,,0.0,,,0.4,,,,3_daily_weather
T0009,2024-01-23T01:00:00+01,,0.0,,,0.5,,,,4_daily_weather
T0009,2024-01-23T01:15:00+01,,0.0,,,0.5,,,,5_daily_weather
T0009,2024-01-23T01:30:00+01,,0.0,,,0.4,,,,6_daily_weather
T0009,2024-01-23T01:45:00+01,,0.0,,,0.4,,,,7_daily_weather
T0009,2024-01-23T02:00:00+01,,0.0,,,0.6,,,,8_daily_weather
T0009,2024-01-23T02:15:00+01,,0.0,,,0.6,,,,9_daily_weather
T0009,2024-01-23T02:30:00+01,,0.0,,,0.6,,,,10_daily_weather
T0009,2024-01-23T02:45:00+01,,0.0,,,0.6,,,,11_daily_weather
T0009,2024-01-23T03:00:00+01,,0.0,,,0.5,,,,12_daily_weather
T0009,2024-01-23T03:15:00+01,,0.0,,,0.2,,,,13_daily_weather
T0009,2024-01-23T03:30:00+01,,0.0,,,-0.1,,,,14_daily_weather
T0009,2024-01-23T03:45:00+01,,0.0,,,-0.2,,,,15_daily_weather
T0009,2024-01-23T04:00:00+01,,0.0,,,0.0,,,,16_daily_weather
T0009,2024-01-23T04:15:00+01,,0.0,,,0.2,,,,17_daily_weather
T0009,2024-01-23T04:30:00+01,,0.0,,,-0.2,,,,18_daily_weather
T0009,2024-01-23T04:45:00+01,,0.0,,,-0.7,,,,19_daily_weather
T0009,2024-01-23T05:00:00+01,,0.0,,,-1.0,,,,20_daily_weather
T0009,2024-01-23T05:15:00+01,,0.0,,,-0.5,,,,21_daily_weather
T0009,2024-01-23T05:30:00+01,,0.0,,,-1.1,,,,22_daily_weather
T0009,2024-01-23T05:45:00+01,,0.0,,,-0.8,,,,23_daily_weather
T0009,2024-01-23T06:00:00+01,,0.0,,,-0.6,,,,24_daily_weather
T0009,2024-01-23T06:15:00+01,,0.0,,,-0.8,,,,25_daily_weather
T0009,2024-01-23T06:30:00+01,,0.0,,,-0.8,,,,26_daily_weather
T0009,2024-01-23T06:45:00+01,,0.0,,,-0.9,,,,27_daily_weather
T0009,2024-01-23T07:00:00+01,,0.0,,,-0.9,,,,28_daily_weather
T0009,2024-01-23T07:15:00+01,,0.0,,,-1.1,,,,29_daily_weather
T0009,2024-01-23T07:30:00+01,,0.0,,,-1.0,,,,30_daily_weather
T0009,2024-01-23T07:45:00+01,,0.0,,,-1.1,,,,31_daily_weather
T0009,2024-01-23T08:00:00+01,,0.0,,,-1.0,,,,32_daily_weather
T0009,2024-01-23T08:15:00+01,,0.0,,,-0.8,,,,33_daily_weather
T0009,2024-01-23T08:30:00+01,,0.0,,,-0.8,,,,34_daily_weather
T0009,2024-01-23T08:45:00+01,,0.0,,,-1.0,,,,35_daily_weather
T0009,2024-01-23T09:00:00+01,,0.0,,,-1.1,,,,36_daily_weather
T0009,2024-01-23T09:15:00+01,,0.0,,,-0.8,,,,37_daily_weather
T0009,2024-01-23T09:30:00+01,,0.0,,,-0.3,,,,38_daily_weather
T0009,2024-01-23T09:45:00+01,,0.0,,,-0.1,,,,39_daily_weather
T0009,2024-01-23T10:00:00+01,,0.0,,,1.0,,,,40_daily_weather
T0009,2024-01-23T10:15:00+01,,0.0,,,2.0,,,,41_daily_weather
T0009,2024-01-23T10:30:00+01,,0.0,,,1.8,,,,42_daily_weather
T0009,2024-01-23T10:45:00+01,,0.0,,,2.6,,,,43_daily_weather
T0009,2024-01-23T11:00:00+01,,0.0,,,3.7,,,,44_daily_weather
T0009,2024-01-23T11:15:00+01,,0.0,,,4.9,,,,45_daily_weather
T0009,2024-01-23T11:30:00+01,,0.0,,,5.6,,,,46_daily_weather
T0009,2024-01-23T11:45:00+01,,0.0,,,5.6,,,,47_daily_weather
T0009,2024-01-23T12:00:00+01,,0.0,,,5.9,,,,48_daily_weather
T0009,2024-01-23T12:15:00+01,,0.0,,,5.6,,,,49_daily_weather
T0009,2024-01-23T12:30:00+01,,0.0,,,6.0,,,,50_daily_weather
T0009,2024-01-23T12:45:00+01,,0.0,,,6.1,,,,51_daily_weather
T0009,2024-01-23T13:00:00+01,,0.0,,,7.0,,,,52_daily_weather
T0009,2024-01-23T13:15:00+01,,0.0,,,8.1,,,,53_daily_weather
T0009,2024-01-23T13:30:00+01,,0.0,,,10.0,,,,54_daily_weather
T0009,2024-01-23T13:45:00+01,,0.0,,,10.9,,,,55_daily_weather
T0009,2024-01-23T14:00:00+01,,0.0,,,10.4,,,,56_daily_weather
T0009,2024-01-23T14:15:00+01,,0.0,,,10.8,,,,57_daily_weather
T0009,2024-01-23T14:30:00+01,,0.0,,,9.3,,,,58_daily_weather
T0009,2024-01-23T14:45:00+01,,0.0,,,8.3,,,,59_daily_weather
T0009,2024-01-23T15:00:00+01,,0.0,,,8.1,,,,60_daily_weather
T0009,2024-01-23T15:15:00+01,,0.0,,,8.4,,,,61_daily_weather
T0009,2024-01-23T15:30:00+01,,0.0,,,7.8,,,,62_daily_weather
T0009,2024-01-23T15:45:00+01,,0.0,,,6.8,,,,63_daily_weather
T0009,2024-01-23T16:00:00+01,,0.0,,,6.4,,,,64_daily_weather
T0009,2024-01-23T16:15:00+01,,0.0,,,5.7,,,,65_daily_weather
T0009,2024-01-23T16:30:00+01,,0.0,,,5.0,,,,66_daily_weather
T0009,2024-01-23T16:45:00+01,,0.0,,,4.8,,,,67_daily_weather
T0009,2024-01-23T17:00:00+01,,0.0,,,4.4,,,,68_daily_weather
T0009,2024-01-23T17:15:00+01,,0.0,,,4.4,,,,69_daily_weather
T0009,2024-01-23T17:30:00+01,,0.0,,,4.7,,,,70_daily_weather
T0009,2024-01-23T17:45:00+01,,0.0,,,4.7,,,,71_daily_weather
T0009,2024-01-23T18:00:00+01,,0.0,,,4.5,,,,72_daily_weather
T0009,2024-01-23T18:15:00+01,,0.0,,,4.8,,,,73_daily_weather
T0009,2024-01-23T18:30:00+01,,0.0,,,4.5,,,,74_daily_weather
T0009,2024-01-23T18:45:00+01,,0.0,,,4.4,,,,75_daily_weather
T0009,2024-01-23T19:00:00+01,,0.0,,,4.4,,,,76_daily_weather
T0009,2024-01-23T19:15:00+01,,0.0,,,4.2,,,,77_daily_weather
T0009,2024-01-23T19:30:00+01,,0.0,,,4.0,,,,78_daily_weather
T0009,2024-01-23T19:45:00+01,,0.0,,,4.1,,,,79_daily_weather
